epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.53177,1.14595,2.64483,3.66813,1.09875,0,0.00581,0.42606,0.23676,0.12522,0.00472,0.32667,0.07909,0.05975,0.79206,1.79125,3.46613,0.85608,0,0.00030009,0.00030009,0.00030009
2,11.5741,0.9969,1.48706,3.26443,0.9697,0,0.00932,0.63636,0.57516,0.43821,0.00932,0.63636,0.57516,0.42035,0.8993,1.10616,3.32045,0.83377,0,0.000606866,0.000606866,0.000606866
3,14.6411,1.0717,1.48834,3.1005,1.00895,0,0.01072,0.68182,0.5522,0.37162,0.01072,0.68182,0.5522,0.43241,1.02552,1.31172,3.30302,0.89203,0,0.000905861,0.000905861,0.000905861
4,17.8126,1.21074,2.51285,3.0149,1.05587,0,0.0065,0.38788,0.23625,0.12976,0.00445,0.26424,0.15278,0.03609,1.38757,5.55935,3.64915,1.30061,0,0.00119708,0.00119708,0.00119708
5,20.9271,1.4128,4.41798,3.01087,1.11205,0,0.0065,0.38788,0.23625,0.12976,0.00445,0.26424,0.15278,0.03609,1.38757,5.55935,3.64915,1.30061,0,0.00135826,0.00135826,0.00135826
6,23.0789,1.51842,2.81259,2.91552,1.23799,0,0.32512,0.16,0.34285,0.21556,0.32512,0.16,0.24145,0.14288,1.42475,2.82778,3.05638,1.25958,0,0.00134058,0.00134058,0.00134058
7,25.2938,1.5263,2.05453,2.721,1.25657,0,0.61836,0.59273,0.6072,0.30527,0.61836,0.59273,0.62422,0.41141,1.49581,1.45628,2.45199,1.53668,0,0.0013229,0.0013229,0.0013229
8,27.5173,1.44385,1.34042,2.55252,1.19455,0,0.34821,0.68325,0.54634,0.33599,0.35232,0.68143,0.5494,0.40683,1.23479,1.20741,2.34274,1.04473,0,0.00130521,0.00130521,0.00130521
9,29.6909,1.3041,1.06707,2.22665,1.14413,0,0.34821,0.68325,0.54634,0.33599,0.35232,0.68143,0.5494,0.40683,1.23479,1.20741,2.34274,1.04473,0,0.00128753,0.00128753,0.00128753
10,31.9229,1.29975,1.09149,2.17435,1.11021,0,0.72869,0.80426,0.80845,0.44133,0.72869,0.80426,0.80845,0.47616,1.29583,1.14237,1.94958,1.08169,0,0.00126985,0.00126985,0.00126985
